iter	MultiClass
112	0.4932629788
113	0.492954253
114	0.4924542491
115	0.4919527697
116	0.4916385586
117	0.4913375029
118	0.4912585451
119	0.4910159911
120	0.4908142279
121	0.4905574132
122	0.4901380566
123	0.4897576317
124	0.4895803942
125	0.4893176095
126	0.4891904228
127	0.4889224609
128	0.4885646652
129	0.4880888106
130	0.4880001024
131	0.4877740084
132	0.4875975609
133	0.4874294178
134	0.4873132091
135	0.4872101843
136	0.4869253567
137	0.4868261852
138	0.4867017007
139	0.4860621446
140	0.4856525638
141	0.4854030096
142	0.4848938322
143	0.4847604554
144	0.4845328769
145	0.4842378632
146	0.4839793993
147	0.4837854074
148	0.4837341037
149	0.4836246683
150	0.4835065161
151	0.483215331
152	0.4829771716
153	0.4828025221
154	0.482553548
155	0.4824494067
156	0.4822419766
157	0.4820963631
158	0.4816306746
159	0.481315932
160	0.4812224539
161	0.4810558576
162	0.4808898531
163	0.4805747939
164	0.4805019152
165	0.4802533111
166	0.480072188
167	0.4797205648
168	0.4796595271
169	0.4793223924
170	0.4792513679
171	0.4790740651
172	0.478918526
173	0.4787476839
174	0.4786090005
175	0.4783508232
176	0.478221791
177	0.4781241492
178	0.4779338892
179	0.4778554648
180	0.4776534343
181	0.4774654183
182	0.477415297
183	0.4772420374
184	0.4771537285
185	0.4770611453
186	0.4770111943
187	0.4769043138
188	0.4767848738
189	0.4766658355
190	0.4765814156
191	0.4764775504
192	0.4763301222
193	0.4760916575
194	0.4759268793
195	0.4758480349
196	0.4757215658
197	0.4756840427
198	0.4754311595
199	0.4752958536
200	0.4751473467
201	0.4750191884
202	0.4746764187
203	0.4745687546
204	0.4744459235
205	0.4742728343
206	0.4741477982
207	0.4739539084
208	0.4737561275
209	0.4735484144
210	0.4734065428
211	0.4729745794
212	0.4726767609
213	0.4724898658
214	0.4723652207
215	0.4721844994
216	0.4718916656
217	0.4716637236
218	0.4716176924
219	0.4715335555
220	0.4713705702
221	0.4712668338
222	0.4711237566
223	0.4710008119
224	0.4705317096
225	0.4704311574
226	0.470220634
227	0.4700845448
228	0.4699129854
229	0.4697295081
230	0.4695947078
231	0.4694019115
232	0.4692795687
233	0.4691334455
234	0.4690609345
235	0.4689464509
236	0.4687242708
237	0.4686489256
238	0.468400785
239	0.468230971
240	0.4681811309
241	0.4680166787
242	0.4678593281
243	0.4676807764
244	0.4674538416
245	0.4673545641
246	0.4672259937
247	0.4671744702
248	0.4670083473
249	0.466795971
250	0.466598639
251	0.4664991432
252	0.4663049907
253	0.4661328581
254	0.4659385873
255	0.4657583526
256	0.4655428963
257	0.46542946
258	0.4652340839
259	0.4650214795
260	0.4647864824
261	0.4646316857
262	0.46440587
263	0.4642493745
264	0.4640880247
265	0.4639398144
266	0.4638627145
267	0.4636702646
268	0.4634202152
269	0.4632985696
270	0.4631230653
271	0.4630441113
272	0.4627660881
273	0.462593839
274	0.4620720182
275	0.4619383591
276	0.4615195131
277	0.4613899572
278	0.4613157803
279	0.4611831103
280	0.4610680788
281	0.4610011012
282	0.4607975565
283	0.4606806025
284	0.4605955211
285	0.460505197
286	0.4603052885
287	0.4601879741
288	0.4600664638
289	0.4598997046
290	0.4598108138
291	0.4596038081
292	0.4594193462
293	0.45920103
294	0.45901311
295	0.458819748
296	0.4587033014
297	0.4585598924
298	0.458481225
299	0.4582299772
300	0.4580738871
301	0.4580263617
302	0.4579280589
303	0.4577537866
304	0.457617797
305	0.457553219
306	0.4574594077
307	0.4574005969
308	0.4572474969
309	0.4571487342
310	0.4571047439
311	0.4569996216
312	0.4568085707
313	0.4567025986
314	0.4565500986
315	0.4564884538
316	0.4563772599
317	0.4562979475
318	0.4561603656
319	0.4560482075
320	0.4559676246
321	0.4554036153
322	0.455305224
323	0.4551434027
324	0.4550834322
325	0.4548224009
326	0.454538039
327	0.4543729891
328	0.4543083218
329	0.4542067743
330	0.4540884391
331	0.4539543367
332	0.4536372339
333	0.4535303821
334	0.4533299446
335	0.4530857163
336	0.4529141485
337	0.4528398572
338	0.4527101796
339	0.4524636916
340	0.4519184655
341	0.4518497691
342	0.4517755869
343	0.4515156835
344	0.4513457048
345	0.4511037496
346	0.4509639167
347	0.4508136232
348	0.4507226523
349	0.450620052
